Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2014-06-30;147.8;3;
2014-07-31;199.8;3.1;
2014-08-31;58.8;2.8;
2014-09-30;108.4;3.8;
2014-10-31;255.2;3.9;
2014-11-30;69.8;3.8;
2014-12-31;146.8;3.3;
2015-01-31;173;3.1;
2015-02-28;null;null;
2015-03-31;null;null;
2015-04-30;null;2.6;
2015-05-31;127;2.6;
2015-06-30;122.8;2.4;
2015-07-31;148;2.5;
2015-08-31;62.2;3.3;
2015-09-30;278.8;3;
2015-10-31;203.6;4.2;
2015-11-30;124.4;3.9;
2015-12-31;136.4;3.6;
2016-01-31;63.2;3.6;
2016-02-29;154;3.3;
2016-03-31;189.8;3.3;
2016-04-30;null;2.9;
2016-05-31;null;null;
2016-06-30;null;null;
2016-07-31;null;null;
2016-08-31;118.6;3;
2016-09-30;90.6;3.9;
2016-10-31;76.8;4.3;
2016-11-30;105.4;3.5;
2016-12-31;77.2;3.5;
2017-01-31;66.6;3.4;
2017-02-28;74.8;2.9;
2017-03-31;169.2;3.4;
2017-04-30;93.4;3.4;
2017-05-31;173.2;3.2;
2017-06-30;33.8;2.8;
2017-07-31;33;3.2;
2017-08-31;null;null;
2017-09-30;null;null;
2017-10-31;233.4;3.8;
2017-11-30;30.8;3.5;
2017-12-31;30.2;3.9;
2018-01-31;97.2;3.7;
2018-02-28;65.4;3.2;
2018-03-31;76;2.9;
2018-04-30;76.8;2.6;
2018-05-31;null;2.8;
2018-06-30;null;2.7;
2018-07-31;225.8;3.2;
2018-08-31;47.6;3.4;
2018-09-30;175.4;3.6;
2018-10-31;null;3.3;
2018-11-30;null;3.8;
2018-12-31;46.2;3.6;
2019-01-31;222.2;3.3;
2019-02-28;31.8;2.8;
2019-03-31;23.6;3.2;
2019-04-30;63.6;2.7;
2019-05-31;44.4;2.5;
2019-06-30;38.4;2.6;
2019-07-31;120.6;2.8;
2019-08-31;97.4;3.1;
2019-09-30;163.6;3.1;
2019-10-31;196.6;3.5;
2019-11-30;45.8;3.6;
2019-12-31;38.8;3.4;
2020-01-31;32.6;3.4;
2020-02-29;31.2;3.6;
2020-03-31;29.2;3.2;
2020-04-30;52;3.6;
2020-05-31;100.8;2.9;
2020-06-30;205.8;2.9;
2020-07-31;102.6;3;
2020-08-31;43.2;2.9;
2020-09-30;156.6;3;
2020-10-31;125.4;3.5;
2020-11-30;29.8;3.2;
2020-12-31;119;3.7;
2021-01-31;192.2;3.3;
2021-02-28;null;null;
2021-03-31;null;null;
2021-04-30;32.4;2.9;
2021-05-31;25.8;2.8;
2021-06-30;77.2;3.3;
2021-07-31;64.2;2.7;
2021-08-31;112;2.8;
2021-09-30;170.2;3.5;
2021-10-31;65.6;3.3;
2021-11-30;49.2;3.5;
2021-12-31;18.6;3.3;
2022-01-31;70.4;3.1;
2022-02-28;50.6;3.1;
2022-03-31;65.6;3.1;
2022-04-30;123.8;2.6;
2022-05-31;57.2;2.5;
2022-06-30;null;2.5;
2022-07-31;null;2.9;
2022-08-31;118;2.8;
2022-09-30;null;null;
2022-10-31;102.8;3.4;
2022-11-30;49.8;3.5;
2022-12-31;17.4;3.2;
2023-01-31;33.4;3.1;
2023-02-28;41.8;3;
2023-03-31;89.8;3;
2023-04-30;45.8;2.4;
2023-05-31;138.6;2.3;
2023-06-30;null;2;
2023-07-31;null;null;
2023-08-31;81.2;null;
2023-09-30;466.2;3.2;
2023-10-31;60.6;3.2;
2023-11-30;154.2;3.3;
2023-12-31;null;3.2;
2024-01-31;null;3.2;
2024-02-29;null;3.2;
2024-03-31;100;2.5;
2024-04-30;316.2;2.9;
2024-05-31;316.6;2.7;

