"Data","Ventvel","Dia","Mes","Ano","precmed"
2014-06-30,3,30,6,14,4.92666666666667
2014-07-31,3.1,31,7,14,6.44516129032258
2014-08-31,2.8,31,8,14,1.89677419354839
2014-09-30,3.8,30,9,14,3.61333333333333
2014-10-31,3.9,31,10,14,8.23225806451613
2014-11-30,3.8,30,11,14,2.32666666666667
2014-12-31,3.3,31,12,14,4.73548387096774
2015-01-31,3.1,31,1,15,5.58064516129032
2015-02-28,NA,28,2,15,NA
2015-03-31,NA,31,3,15,NA
2015-04-30,2.6,30,4,15,NA
2015-05-31,2.6,31,5,15,4.09677419354839
2015-06-30,2.4,30,6,15,4.09333333333333
2015-07-31,2.5,31,7,15,4.7741935483871
2015-08-31,3.3,31,8,15,2.00645161290323
2015-09-30,3,30,9,15,9.29333333333333
2015-10-31,4.2,31,10,15,6.56774193548387
2015-11-30,3.9,30,11,15,4.14666666666667
2015-12-31,3.6,31,12,15,4.4
2016-01-31,3.6,31,1,16,2.03870967741935
2016-02-29,3.3,29,2,16,5.31034482758621
2016-03-31,3.3,31,3,16,6.12258064516129
2016-04-30,2.9,30,4,16,NA
2016-05-31,NA,31,5,16,NA
2016-06-30,NA,30,6,16,NA
2016-07-31,NA,31,7,16,NA
2016-08-31,3,31,8,16,3.8258064516129
2016-09-30,3.9,30,9,16,3.02
2016-10-31,4.3,31,10,16,2.47741935483871
2016-11-30,3.5,30,11,16,3.51333333333333
2016-12-31,3.5,31,12,16,2.49032258064516
2017-01-31,3.4,31,1,17,2.14838709677419
2017-02-28,2.9,28,2,17,2.67142857142857
2017-03-31,3.4,31,3,17,5.45806451612903
2017-04-30,3.4,30,4,17,3.11333333333333
2017-05-31,3.2,31,5,17,5.58709677419355
2017-06-30,2.8,30,6,17,1.12666666666667
2017-07-31,3.2,31,7,17,1.06451612903226
2017-08-31,NA,31,8,17,NA
2017-09-30,NA,30,9,17,NA
2017-10-31,3.8,31,10,17,7.52903225806452
2017-11-30,3.5,30,11,17,1.02666666666667
2017-12-31,3.9,31,12,17,0.974193548387097
2018-01-31,3.7,31,1,18,3.13548387096774
2018-02-28,3.2,28,2,18,2.33571428571429
2018-03-31,2.9,31,3,18,2.45161290322581
2018-04-30,2.6,30,4,18,2.56
2018-05-31,2.8,31,5,18,NA
2018-06-30,2.7,30,6,18,NA
2018-07-31,3.2,31,7,18,7.28387096774194
2018-08-31,3.4,31,8,18,1.53548387096774
2018-09-30,3.6,30,9,18,5.84666666666667
2018-10-31,3.3,31,10,18,NA
2018-11-30,3.8,30,11,18,NA
2018-12-31,3.6,31,12,18,1.49032258064516
2019-01-31,3.3,31,1,19,7.16774193548387
2019-02-28,2.8,28,2,19,1.13571428571429
2019-03-31,3.2,31,3,19,0.761290322580645
2019-04-30,2.7,30,4,19,2.12
2019-05-31,2.5,31,5,19,1.43225806451613
2019-06-30,2.6,30,6,19,1.28
2019-07-31,2.8,31,7,19,3.89032258064516
2019-08-31,3.1,31,8,19,3.14193548387097
2019-09-30,3.1,30,9,19,5.45333333333333
2019-10-31,3.5,31,10,19,6.34193548387097
2019-11-30,3.6,30,11,19,1.52666666666667
2019-12-31,3.4,31,12,19,1.25161290322581
2020-01-31,3.4,31,1,20,1.05161290322581
2020-02-29,3.6,29,2,20,1.07586206896552
2020-03-31,3.2,31,3,20,0.941935483870968
2020-04-30,3.6,30,4,20,1.73333333333333
2020-05-31,2.9,31,5,20,3.25161290322581
2020-06-30,2.9,30,6,20,6.86
2020-07-31,3,31,7,20,3.30967741935484
2020-08-31,2.9,31,8,20,1.39354838709677
2020-09-30,3,30,9,20,5.22
2020-10-31,3.5,31,10,20,4.04516129032258
2020-11-30,3.2,30,11,20,0.993333333333333
2020-12-31,3.7,31,12,20,3.83870967741935
2021-01-31,3.3,31,1,21,6.2
2021-02-28,NA,28,2,21,NA
2021-03-31,NA,31,3,21,NA
2021-04-30,2.9,30,4,21,1.08
2021-05-31,2.8,31,5,21,0.832258064516129
2021-06-30,3.3,30,6,21,2.57333333333333
2021-07-31,2.7,31,7,21,2.07096774193548
2021-08-31,2.8,31,8,21,3.61290322580645
2021-09-30,3.5,30,9,21,5.67333333333333
2021-10-31,3.3,31,10,21,2.11612903225806
2021-11-30,3.5,30,11,21,1.64
2021-12-31,3.3,31,12,21,0.6
2022-01-31,3.1,31,1,22,2.27096774193548
2022-02-28,3.1,28,2,22,1.80714285714286
2022-03-31,3.1,31,3,22,2.11612903225806
2022-04-30,2.6,30,4,22,4.12666666666667
2022-05-31,2.5,31,5,22,1.84516129032258
2022-06-30,2.5,30,6,22,NA
2022-07-31,2.9,31,7,22,NA
2022-08-31,2.8,31,8,22,3.80645161290323
2022-09-30,NA,30,9,22,NA
2022-10-31,3.4,31,10,22,3.31612903225806
2022-11-30,3.5,30,11,22,1.66
2022-12-31,3.2,31,12,22,0.561290322580645
2023-01-31,3.1,31,1,23,1.07741935483871
2023-02-28,3,28,2,23,1.49285714285714
2023-03-31,3,31,3,23,2.89677419354839
2023-04-30,2.4,30,4,23,1.52666666666667
2023-05-31,2.3,31,5,23,4.47096774193548
2023-06-30,2,30,6,23,NA
2023-07-31,NA,31,7,23,NA
2023-08-31,NA,31,8,23,2.61935483870968
2023-09-30,3.2,30,9,23,15.54
2023-10-31,3.2,31,10,23,1.95483870967742
2023-11-30,3.3,30,11,23,5.14
2023-12-31,3.2,31,12,23,NA
2024-01-31,3.2,31,1,24,NA
2024-02-29,3.2,29,2,24,NA
2024-03-31,2.5,31,3,24,3.2258064516129
2024-04-30,2.9,30,4,24,10.54
2024-05-31,2.7,31,5,24,10.2129032258065
